date,wwtp,capacity,temperature,precipitations_96h_sum_mm,precipitations_24h_sum_mm,totalEc_cfu_100ml_a,totalEc_cfu_100ml_b,esblEc_cfu_100ml_a,esblEc_cfu_100ml_b,esblEc_percentage_a,esblEc_percentage_b,flowrate_m3_day,totalEc_loads_a,totalEc_loads_b,esblEc_loads_a,esblEc_loads_b
16_11_2021,Altenrhein,64000,5.8,7.4,0,4800000,na,42000,na,0.875,na,18036.29497,13527221228,na,118363185.7,na
16_11_2021,Chur,55000,5.1,22.4,0,3300000,na,40000,na,1.212121212,na,12167,7300200000,na,88487272.73,na
16_11_2021,Geneva,454000,7.3,0.7,0,3500000,na,39000,na,1.114285714,na,144911,11171552863,na,124483017.6,na
16_11_2021,Laupen,62000,6.1,2.2,0,3400000,na,60000,na,1.764705882,na,18420,10101290323,na,178258064.5,na
16_11_2021,Lugano,124000,10.2,23.7,1.2,6400000,na,45000,na,0.703125,na,35200,18167741935,na,127741935.5,na
16_11_2021,Zurich,471000,5.2,3.6,0,3500000,na,49000,na,1.4,na,154702.3727,11495930031,na,160943020.4,na
23_11_2021,Altenrhein,64000,5.5,0,0,4000000,na,57000,na,1.425,na,35266,22041250000,na,314087812.5,na
23_11_2021,Chur,55000,4.4,1.1,0,3500000,na,58000,na,1.657142857,na,142930.9952,90956087855,na,1507272313,na
23_11_2021,Geneva,454000,5.7,0.3,0,3800000,na,60000,na,1.578947368,na,13924.18959,1165460803,na,18402012.67,na
23_11_2021,Laupen,62000,3.6,0.3,0,2800000,na,56000,na,2,na,17203,7769096774,na,155381935.5,na
23_11_2021,Lugano,124000,9.8,8.9,0.5,1000000,na,25000,na,2.5,na,126578,10207903226,na,255197580.6,na
23_11_2021,Zurich,471000,3.4,1,0,2700000,na,61000,na,2.259259259,na,15924,912840764.3,na,20623439.49,na
30_11_2021,Altenrhein,64000,2.2,11.2,5.9,2600000,na,35000,na,1.346153846,na,35916,14590875000,na,196415625,na
30_11_2021,Chur,55000,-0.5,15.8,4.2,5100000,na,68000,na,1.333333333,na,168399.7852,1.56153E+11,na,2082033708,na
30_11_2021,Geneva,454000,-0.3,2.8,0,3400000,na,53000,na,1.558823529,na,30398.69231,2276554050,na,35487460.19,na
30_11_2021,Laupen,62000,1.1,2.9,0.6,2800000,na,25000,na,0.892857143,na,17686,7987225806,na,71314516.13,na
30_11_2021,Lugano,124000,4.1,31.1,0,1400000,na,70000,na,5,na,53090,5994032258,na,299701612.9,na
30_11_2021,Zurich,471000,1.2,6.1,1.6,3600000,na,42000,na,1.166666667,na,128666,9834343949,na,114734012.7,na
7_12_2021,Altenrhein,64000,3.3,15.3,5.7,1900000,na,40000,na,2.105263158,na,34294,10181031250,na,214337500,na
7_12_2021,Lugano,124000,4.8,0,0,1400000,na,24000,na,1.714285714,na,42842,4837000000,na,82920000,na
7_12_2021,Chur,55000,0,4.4,0.8,8300000,na,55000,na,0.662650602,na,14763,22278709091,na,147630000,na
7_12_2021,Geneva,454000,2.9,25.1,9.1,2900000,na,60000,na,2.068965517,na,187444,11973295154,na,247723348,na
7_12_2021,Laupen,620000,1.7,31.2,8.9,3000000,na,34000,na,1.133333333,na,26911,1302145161,na,14757645.16,na
7_12_2021,Zurich,471000,1.7,23,8.2,3100000,na,60000,na,1.935483871,na,328841.86,21643519448,na,418906828,na
14_12_2021,Altenrhein,64000,2.8,0.7,0,5500000,na,76000,na,1.381818182,na,21817.38954,18749319136,na,259081500.8,na
14_12_2021,Chur,55000,3.2,0.5,0,10600000,na,91000,na,0.858490566,na,18633,35910872727,na,308291454.5,na
14_12_2021,Geneva,454000,1.5,0.1,0,7400000,na,91000,na,1.22972973,na,137205,22363810573,na,275014427.3,na
14_12_2021,Laupen,62000,-1.8,0.5,0,6300000,na,43000,na,0.682539683,na,23284,23659548387,na,161485806.5,na
14_12_2021,Lugano,124000,4.9,0,0,3100000,na,73000,na,2.35483871,na,51591,12897750000,na,303721209.7,na
14_12_2021,Zurich,471000,1.1,1.1,0,5800000,na,82000,na,1.413793103,na,229932.24,28314373503,na,400306659.9,na
18_01_2022,Altenrhein,64000,1.5,0.5,0,8200000,na,78000,na,0.951219512,na,18459.4882,23651219256,na,224975012.4,na
18_01_2022,Chur,55000,0.8,0,0,9600000,na,75000,na,0.78125,na,18726,32685381818,na,255354545.5,na
18_01_2022,Geneva,454000,3.8,0,0,3900000,na,101000,na,2.58974359,na,152866,13131660793,na,340076343.6,na
18_01_2022,Laupen,62000,1.2,0,0,8100000,na,61000,na,0.75308642,na,22084,28851677419,na,217278064.5,na
18_01_2022,Lugano,124000,8.3,0,0,2500000,na,59000,na,2.36,na,35807,7219153226,na,170372016.1,na
18_01_2022,Zurich,471000,1.3,0,0,6200000,na,117000,na,1.887096774,na,248635.9267,32729145341,na,617630645.9,na
25_01_2022,Altenrhein,64000,-1,0.1,0,5100000,na,75000,na,1.470588235,na,27111,21604078125,na,317707031.3,na
25_01_2022,Chur,55000,-0.7,0,0,5000000,na,75000,na,1.5,na,12957,11779090909,na,176686363.6,na
25_01_2022,Geneva,454000,0,0,0,3700000,na,69000,na,1.864864865,na,124388,10137348018,na,189047841.4,na
25_01_2022,Laupen,62000,-1.6,0,0,5300000,na,66000,na,1.245283019,na,17686,15118677419,na,188270322.6,na
25_01_2022,Lugano,124000,4,0,0,2600000,na,81000,na,3.115384615,na,53090,11131774194,na,346797580.6,na
25_01_2022,Zurich,471000,0.1,0,0,3400000,na,103000,na,3.029411765,na,174718.8175,12612398715,na,382081490.5,na
01_02_2022,Altenrhein,64000,3.1,0.7,0.4,6000000,na,68000,na,1.133333333,na,18090.79189,16960117397,na,192214663.8,na
01_02_2022,Chur,55000,0.9,18.8,14.2,5800000,na,47000,na,0.810344828,na,15302,16136654545,na,130762545.5,na
01_02_2022,Geneva,454000,2.6,4,1.2,3900000,na,83000,na,2.128205128,na,134825,11581883260,na,246486233.5,na
01_02_2022,Laupen,62000,2.3,2,0.5,5800000,na,37000,na,0.637931034,na,20220,18915483871,na,120667741.9,na
01_02_2022,Lugano,124000,9.9,0,0,4600000,na,89000,na,1.934782609,na,34721,12880370968,na,249207177.4,na
01_02_2022,Zurich,471000,1.8,8.8,3.9,5400000,na,46000,na,0.851851852,na,196753.9977,22557783176,na,192158893.7,na
08_02_2022,Altenrhein,64000,2.7,5.4,0,5600000,na,71000,na,1.267857143,na,28441.39003,24886216276,na,315521670.6,na
08_02_2022,Chur,55000,1.6,19.6,0,7000000,na,40000,na,0.571428571,na,15554,19796000000,na,113120000,na
08_02_2022,Geneva,454000,2.1,9.6,0,4800000,na,65000,na,1.354166667,na,131996,13955524229,na,188981057.3,na
08_02_2022,Laupen,62000,0.7,5.7,0,5000000,na,47000,na,0.94,na,17788,14345161290,na,134844516.1,na
08_02_2022,Lugano,124000,6.3,0,0,5000000,na,40000,na,0.8,na,32984,13300000000,na,106400000,na
08_02_2022,Zurich,471000,2.3,9.4,0,2900000,na,73000,na,2.517241379,na,199032.5164,12254655999,na,308479271.7,na
15_02_2022,Altenrhein,64000,4.7,3.5,1.2,5500000,5500000,79000,34000,1.436363636,0.618181818,34768,29878750000,29878750000,429167500,184705000
15_02_2022,Chur,55000,3.9,3.6,1,6700000,4200000,57000,52000,0.850746269,1.238095238,148379.3782,1.80753E+11,1.13308E+11,1537749920,1402859576
15_02_2022,Geneva,454000,-1.1,8.3,1.3,6000000,4300000,134000,91000,2.233333333,2.11627907,14818.89653,1958444475,1403551874,43738593.28,29703074.54
15_02_2022,Laupen,62000,3.2,5.9,1.4,7400000,5300000,63000,49000,0.851351351,0.924528302,12372,14766580645,10576064516,125715483.9,97778709.68
15_02_2022,Lugano,124000,2.7,16.6,0,3900000,3200000,95000,74000,2.435897436,2.3125,141169,44399927419,36430709677,1081536694,842460161.3
15_02_2022,Zurich,471000,4.6,2.9,0.6,6000000,4500000,45000,44000,0.75,0.977777778,23328,2971719745,2228789809,22287898.09,21792611.46
22_02_2022,Altenrhein,64000,7.3,4.6,1.2,2500000,2400000,34000,33000,1.36,1.375,14534.78116,5677648891,5450542935,77216024.91,74944965.36
22_02_2022,Chur,55000,5.6,5.1,1.4,4800000,3200000,27000,26000,0.5625,0.8125,10262,8955927273,5970618182,50377090.91,48511272.73
22_02_2022,Geneva,454000,7,13,0.1,2900000,2400000,60000,59000,2.068965517,2.458333333,120611,7704226872,6375911894,159397797.4,156741167.4
22_02_2022,Laupen,62000,5.8,14.2,0,2100000,1500000,33000,32000,1.571428571,2.133333333,17203,5826822581,4162016129,91564354.84,88789677.42
22_02_2022,Lugano,124000,10.8,0,0,1500000,1300000,39000,33000,2.6,2.538461538,47557,5752862903,4985814516,149574435.5,126562983.9
22_02_2022,Zurich,471000,6.2,9,1.1,2700000,2600000,34000,32000,1.259259259,1.230769231,136283.3789,7812422994,7523073994,98378659.93,92591679.93
01_03_2022,Altenrhein,64000,0,0.1,0,3700000,3100000,76000,67000,2.054054054,2.161290323,16463.59248,9518014403,7974552608,195505160.7,172353233.8
01_03_2022,Chur,55000,2.8,0,0,1300000,600000,43000,43000,3.307692308,7.166666667,11782,2784836364,1285309091,92113818.18,92113818.18
01_03_2022,Geneva,454000,3,0,0,4400000,3100000,89000,76000,2.022727273,2.451612903,146678,14215488987,10015458150,287540572.7,245540264.3
01_03_2022,Laupen,62000,1.8,0,0,3600000,3500000,52000,42000,1.444444444,1.2,17020,9882580645,9608064516,142748387.1,115296774.2
01_03_2022,Lugano,124000,5.3,0,0,3300000,3200000,76000,67000,2.303030303,2.09375,32618,8680596774,8417548387,199916774.2,176242419.4
01_03_2022,Zurich,471000,1,0,0,3400000,2800000,51000,46000,1.5,1.642857143,153025.9044,11046455944,9097081366,165696839.2,149452051
08_03_2022,Altenrhein,64000,-0.3,0,0,5900000,3500000,67000,65000,1.13559322,1.857142857,14994.79121,13823323147,8200276443,156976720.5,152290848.2
08_03_2022,Chur,55000,1.1,0,0,5400000,2200000,48000,43000,0.888888889,1.954545455,11544,11334109091,4617600000,100747636.4,90253090.91
08_03_2022,Geneva,454000,1.7,0,0,1900000,1400000,79000,51000,4.157894737,3.642857143,143905,6022455947,4437599119,250407378.9,161655396.5
08_03_2022,Laupen,62000,0.6,0,0,3400000,3300000,66000,62000,1.941176471,1.878787879,16491,9043451613,8777467742,175549354.8,164910000
08_03_2022,Lugano,124000,3.6,0,0,6800000,6300000,125000,120000,1.838235294,1.904761905,33952,18618838710,17249806452,342258064.5,328567741.9
08_03_2022,Zurich,471000,-0.1,0,0,3200000,2600000,71000,68000,2.21875,2.615384615,142454.7137,9678451886,7863742158,214740651.2,205667102.6
15_03_2022,Lugano,124000,8.6,0.4,0,1100000,1100000,42000,37000,3.818181818,3.363636364,16953.77972,1503964330,1503964330,57424092.6,50587891.1
15_03_2022,Zurich,471000,6.7,2.3,1.2,3300000,3200000,30000,26000,0.909090909,0.8125,12538,878458598.7,851838641.2,7985987.261,6921188.96
15_03_2022,Altenrhein,64000,7.4,0,0,2700000,2600000,35000,22000,1.296296296,0.846153846,126267,53268890625,51295968750,690522656.3,434042812.5
15_03_2022,Chur,55000,11.9,0,0,3600000,2400000,47000,41000,1.305555556,1.708333333,17328,11341963636,7561309091,148075636.4,129172363.6
15_03_2022,Geneva,454000,9.5,14,0.3,1500000,1200000,29000,24000,1.933333333,2,50940,1683039648,1346431718,32538766.52,26928634.36
