sample,month,dMLA_set,wwtp,well,X2,n,threshold,real_n
Altenrhein_Dec_1,Dec,set_1,Altenrhein,C10,C0aT,6,104.6391318,0
Altenrhein_Dec_1,Dec,set_1,Altenrhein,C10,C12aT,4,86.89992296,0
Altenrhein_Dec_1,Dec,set_1,Altenrhein,C10,C14aT,1,7.621320344,0
Altenrhein_Dec_1,Dec,set_1,Altenrhein,C10,C18bT,10,544.9069797,0
Altenrhein_Dec_1,Dec,set_1,Altenrhein,C10,C20aT,7,94.3562367,0
Altenrhein_Dec_1,Dec,set_1,Altenrhein,C10,C20bT,3,311.8142208,0
Altenrhein_Dec_1,Dec,set_1,Altenrhein,C10,C27aT,11,253.8164444,0
Altenrhein_Dec_1,Dec,set_1,Altenrhein,C10,C27bT,15,435.6934198,0
Altenrhein_Dec_1,Dec,set_1,Altenrhein,C10,C3bT,1,15.45768899,0
Altenrhein_Dec_1,Dec,set_1,Altenrhein,C10,C5aT,3,129.944357,0
Altenrhein_Dec_1,Dec,set_1,Altenrhein,C10,C5bT,2,37.83976902,0
Altenrhein_Dec_1,Dec,set_1,Altenrhein,C10,C9aT,9,233.3371755,0
Altenrhein_Dec_1,Dec,set_1,Altenrhein,C10,C4bT,277,1,276
Altenrhein_Dec_1,Dec,set_1,Altenrhein,C10,C4aT,223,1,222
Altenrhein_Dec_2,Dec,set_1,Altenrhein,C11,C0aT,13,104.6391318,0
Altenrhein_Dec_2,Dec,set_1,Altenrhein,C11,C10bT,1,6.242640687,0
Altenrhein_Dec_2,Dec,set_1,Altenrhein,C11,C12aT,6,86.89992296,0
Altenrhein_Dec_2,Dec,set_1,Altenrhein,C11,C12bT,2,6.242640687,0
Altenrhein_Dec_2,Dec,set_1,Altenrhein,C11,C14bT,1,1,0
Altenrhein_Dec_2,Dec,set_1,Altenrhein,C11,C15aT,1,2,0
Altenrhein_Dec_2,Dec,set_1,Altenrhein,C11,C18bT,33,544.9069797,0
Altenrhein_Dec_2,Dec,set_1,Altenrhein,C11,C20aT,13,94.3562367,0
Altenrhein_Dec_2,Dec,set_1,Altenrhein,C11,C20bT,3,311.8142208,0
Altenrhein_Dec_2,Dec,set_1,Altenrhein,C11,C27aT,35,253.8164444,0
Altenrhein_Dec_2,Dec,set_1,Altenrhein,C11,C27bT,54,435.6934198,0
Altenrhein_Dec_2,Dec,set_1,Altenrhein,C11,C3bT,1,15.45768899,0
Altenrhein_Dec_2,Dec,set_1,Altenrhein,C11,C5aT,5,129.944357,0
Altenrhein_Dec_2,Dec,set_1,Altenrhein,C11,C5bT,1,37.83976902,0
Altenrhein_Dec_2,Dec,set_1,Altenrhein,C11,C7aT,5,41.39736831,0
Altenrhein_Dec_2,Dec,set_1,Altenrhein,C11,C9aT,23,233.3371755,0
Altenrhein_Dec_2,Dec,set_1,Altenrhein,C11,C9bT,16,148.2872455,0
Altenrhein_Dec_2,Dec,set_1,Altenrhein,C11,C7bT,12,3.065384141,8.934615859
Altenrhein_Dec_2,Dec,set_1,Altenrhein,C11,C1bT,3,0,3
Altenrhein_Dec_2,Dec,set_1,Altenrhein,C11,C2aT,545,3.621320344,541.3786797
Altenrhein_Dec_2,Dec,set_1,Altenrhein,C11,C2bT,1190,4.622281323,1185.377719
Altenrhein_Dec_3,Dec,set_1,Altenrhein,C12,C0aT,38,104.6391318,0
Altenrhein_Dec_3,Dec,set_1,Altenrhein,C12,C10bT,1,6.242640687,0
Altenrhein_Dec_3,Dec,set_1,Altenrhein,C12,C12aT,31,86.89992296,0
Altenrhein_Dec_3,Dec,set_1,Altenrhein,C12,C12bT,6,6.242640687,0
Altenrhein_Dec_3,Dec,set_1,Altenrhein,C12,C13aT,2,3.065384141,0
Altenrhein_Dec_3,Dec,set_1,Altenrhein,C12,C14aT,5,7.621320344,0
Altenrhein_Dec_3,Dec,set_1,Altenrhein,C12,C18bT,75,544.9069797,0
Altenrhein_Dec_3,Dec,set_1,Altenrhein,C12,C20aT,39,94.3562367,0
Altenrhein_Dec_3,Dec,set_1,Altenrhein,C12,C20bT,11,311.8142208,0
Altenrhein_Dec_3,Dec,set_1,Altenrhein,C12,C27aT,85,253.8164444,0
Altenrhein_Dec_3,Dec,set_1,Altenrhein,C12,C27bT,131,435.6934198,0
Altenrhein_Dec_3,Dec,set_1,Altenrhein,C12,C2bT,1,4.622281323,0
Altenrhein_Dec_3,Dec,set_1,Altenrhein,C12,C7aT,16,41.39736831,0
Altenrhein_Dec_3,Dec,set_1,Altenrhein,C12,C8aT,3,18.45969005,0
Altenrhein_Dec_3,Dec,set_1,Altenrhein,C12,C8bT,1,20.83884232,0
Altenrhein_Dec_3,Dec,set_1,Altenrhein,C12,C9aT,58,233.3371755,0
Altenrhein_Dec_3,Dec,set_1,Altenrhein,C12,C9bT,49,148.2872455,0
Altenrhein_Dec_3,Dec,set_1,Altenrhein,C12,C3aT,3,1,2
Altenrhein_Dec_3,Dec,set_1,Altenrhein,C12,C7bT,30,3.065384141,26.93461586
Altenrhein_Dec_3,Dec,set_1,Altenrhein,C12,C5aT,2956,129.944357,2826.055643
Altenrhein_Dec_3,Dec,set_1,Altenrhein,C12,C5bT,1193,37.83976902,1155.160231
Chur_Dec_1,Dec,set_1,Chur,B12,C0bT,1,79,0
Chur_Dec_1,Dec,set_1,Chur,B12,C10bT,2,6.242640687,0
Chur_Dec_1,Dec,set_1,Chur,B12,C12bT,5,6.242640687,0
Chur_Dec_1,Dec,set_1,Chur,B12,C13aT,2,3.065384141,0
Chur_Dec_1,Dec,set_1,Chur,B12,C15aT,1,2,0
Chur_Dec_1,Dec,set_1,Chur,B12,C15bT,1,1,0
Chur_Dec_1,Dec,set_1,Chur,B12,C18bT,323,544.9069797,0
Chur_Dec_1,Dec,set_1,Chur,B12,C20aT,93,94.3562367,0
Chur_Dec_1,Dec,set_1,Chur,B12,C20bT,80,311.8142208,0
Chur_Dec_1,Dec,set_1,Chur,B12,C2aT,3,3.621320344,0
Chur_Dec_1,Dec,set_1,Chur,B12,C2bT,1,4.622281323,0
Chur_Dec_1,Dec,set_1,Chur,B12,C3bT,7,15.45768899,0
Chur_Dec_1,Dec,set_1,Chur,B12,C5aT,46,129.944357,0
Chur_Dec_1,Dec,set_1,Chur,B12,C5bT,13,37.83976902,0
Chur_Dec_1,Dec,set_1,Chur,B12,C3aT,8,1,7
Chur_Dec_1,Dec,set_1,Chur,B12,C1bT,4,0,4
Chur_Dec_1,Dec,set_1,Chur,B12,C14aT,9,7.621320344,1.378679656
Chur_Dec_1,Dec,set_1,Chur,B12,C14bT,2,1,1
Chur_Dec_1,Dec,set_1,Chur,B12,C9bT,245,148.2872455,96.71275447
Chur_Dec_1,Dec,set_1,Chur,B12,C9aT,324,233.3371755,90.66282445
Chur_Dec_1,Dec,set_1,Chur,B12,C7bT,85,3.065384141,81.93461586
Chur_Dec_1,Dec,set_1,Chur,B12,C0aT,174,104.6391318,69.36086817
Chur_Dec_1,Dec,set_1,Chur,B12,C27bT,494,435.6934198,58.30658025
Chur_Dec_1,Dec,set_1,Chur,B12,C7aT,74,41.39736831,32.60263169
Chur_Dec_1,Dec,set_1,Chur,B12,C27aT,590,253.8164444,336.1835556
Chur_Dec_1,Dec,set_1,Chur,B12,C12aT,187,86.89992296,100.100077
Chur_Dec_1,Dec,set_1,Chur,B12,C8bT,1870,20.83884232,1849.161158
Chur_Dec_1,Dec,set_1,Chur,B12,C8aT,10625,18.45969005,10606.54031
Chur_Dec_2,Dec,set_1,Chur,C1,C0bT,1,79,0
Chur_Dec_2,Dec,set_1,Chur,C1,C12bT,1,6.242640687,0
Chur_Dec_2,Dec,set_1,Chur,C1,C13aT,2,3.065384141,0
